threshold,far,frr
4.0,1.0,0.0
4.5,0.9997,0.0
5.0,0.9997,0.0
5.5,0.9997,0.0
6.0,0.9997,0.0
6.5,0.98335,0.001008
7.0,0.98335,0.001008
7.5,0.98335,0.001008
8.0,0.98335,0.001008
8.5,0.8815,0.015457
9.0,0.8815,0.015457
9.5,0.8815,0.015457
10.0,0.8815,0.015457
10.5,0.65125,0.067876
11.0,0.65125,0.067876
11.5,0.65125,0.067876
12.0,0.65125,0.067876
12.5,0.3971,0.133065
13.0,0.3971,0.133065
13.5,0.3971,0.133065
14.0,0.3971,0.133065
14.5,0.2097,0.195901
15.0,0.2097,0.195901
15.5,0.2097,0.195901
16.0,0.2097,0.195901
16.5,0.1008,0.253024
17.0,0.1008,0.253024
17.5,0.1008,0.253024
18.0,0.1008,0.253024
18.5,0.04705,0.313508
19.0,0.04705,0.313508
19.5,0.04705,0.313508
20.0,0.04705,0.313508
20.5,0.0208,0.370296
21.0,0.0208,0.370296
21.5,0.0208,0.370296
22.0,0.0208,0.370296
22.5,0.00765,0.418683
23.0,0.00765,0.418683
23.5,0.00765,0.418683
24.0,0.00765,0.418683
24.5,0.00275,0.461358
25.0,0.00275,0.461358
25.5,0.00275,0.461358
26.0,0.00275,0.461358
26.5,0.00095,0.498656
27.0,0.00095,0.498656
27.5,0.00095,0.498656
28.0,0.00095,0.498656
28.5,0.00045,0.528226
29.0,0.00045,0.528226
29.5,0.00045,0.528226
30.0,0.00045,0.528226
30.5,0.00025,0.559812
31.0,0.00025,0.559812
31.5,0.00025,0.559812
32.0,0.00025,0.559812
32.5,5e-05,0.585349
33.0,5e-05,0.585349
33.5,5e-05,0.585349
34.0,5e-05,0.585349
34.5,0.0,0.609207
35.0,0.0,0.609207
35.5,0.0,0.609207
36.0,0.0,0.609207
36.5,0.0,0.627352
37.0,0.0,0.627352
37.5,0.0,0.627352
38.0,0.0,0.627352
38.5,0.0,0.64953
39.0,0.0,0.64953
39.5,0.0,0.64953
40.0,0.0,0.64953
40.5,0.0,0.671371
41.0,0.0,0.671371
41.5,0.0,0.671371
42.0,0.0,0.671371
42.5,0.0,0.69254
43.0,0.0,0.69254
43.5,0.0,0.69254
44.0,0.0,0.69254
44.5,0.0,0.707661
45.0,0.0,0.707661
45.5,0.0,0.707661
46.0,0.0,0.707661
46.5,0.0,0.72379
47.0,0.0,0.72379
47.5,0.0,0.72379
48.0,0.0,0.72379
48.5,0.0,0.739583
49.0,0.0,0.739583
49.5,0.0,0.739583
50.0,0.0,0.739583
50.5,0.0,0.754704
51.0,0.0,0.754704
51.5,0.0,0.754704
52.0,0.0,0.754704
52.5,0.0,0.771841
53.0,0.0,0.771841
53.5,0.0,0.771841
54.0,0.0,0.771841
54.5,0.0,0.785618
55.0,0.0,0.785618
55.5,0.0,0.785618
56.0,0.0,0.785618
56.5,0.0,0.800739
57.0,0.0,0.800739
57.5,0.0,0.800739
58.0,0.0,0.800739
58.5,0.0,0.815524
59.0,0.0,0.815524
59.5,0.0,0.815524
60.0,0.0,0.815524
60.5,0.0,0.829973
61.0,0.0,0.829973
61.5,0.0,0.829973
62.0,0.0,0.829973
62.5,0.0,0.843414
63.0,0.0,0.843414
63.5,0.0,0.843414
64.0,0.0,0.843414
64.5,0.0,0.860215
65.0,0.0,0.860215
65.5,0.0,0.860215
66.0,0.0,0.860215
66.5,0.0,0.877352
67.0,0.0,0.877352
67.5,0.0,0.877352
68.0,0.0,0.877352
68.5,0.0,0.891129
69.0,0.0,0.891129
69.5,0.0,0.891129
70.0,0.0,0.891129
70.5,0.0,0.90793
71.0,0.0,0.90793
71.5,0.0,0.90793
72.0,0.0,0.90793
72.5,0.0,0.920363
73.0,0.0,0.920363
73.5,0.0,0.920363
74.0,0.0,0.920363
74.5,0.0,0.931452
75.0,0.0,0.931452
75.5,0.0,0.931452
76.0,0.0,0.931452
76.5,0.0,0.942204
77.0,0.0,0.942204
77.5,0.0,0.942204
78.0,0.0,0.942204
78.5,0.0,0.952957
79.0,0.0,0.952957
79.5,0.0,0.952957
80.0,0.0,0.952957
80.5,0.0,0.964046
81.0,0.0,0.964046
81.5,0.0,0.964046
82.0,0.0,0.964046
82.5,0.0,0.971438
83.0,0.0,0.971438
83.5,0.0,0.971438
84.0,0.0,0.971438
84.5,0.0,0.978831
85.0,0.0,0.978831
85.5,0.0,0.978831
86.0,0.0,0.978831
86.5,0.0,0.983871
87.0,0.0,0.983871
87.5,0.0,0.983871
88.0,0.0,0.983871
88.5,0.0,0.989919
89.0,0.0,0.989919
89.5,0.0,0.989919
90.0,0.0,0.989919
90.5,0.0,0.992608
91.0,0.0,0.992608
91.5,0.0,0.992608
92.0,0.0,0.992608
92.5,0.0,0.995296
93.0,0.0,0.995296
93.5,0.0,0.995296
94.0,0.0,0.995296
94.5,0.0,0.99664
95.0,0.0,0.99664
95.5,0.0,0.99664
96.0,0.0,0.99664
96.5,0.0,0.997984
97.0,0.0,0.997984
97.5,0.0,0.997984
98.0,0.0,0.997984
98.5,0.0,0.998656
99.0,0.0,0.998656
99.5,0.0,0.998656
100.0,0.0,0.998656
100.5,0.0,1.0
