a,b,label,score
100__M_Left_index_1.BMP,100__M_Left_index_2.BMP,genuine,32.0
100__M_Left_index_1.BMP,100__M_Left_index_3.BMP,genuine,20.0
100__M_Left_index_2.BMP,100__M_Left_index_3.BMP,genuine,20.0
100__M_Left_little_1.BMP,100__M_Left_little_2.BMP,genuine,18.0
100__M_Left_little_1.BMP,100__M_Left_little_3.BMP,genuine,36.0
100__M_Left_little_2.BMP,100__M_Left_little_3.BMP,genuine,26.0
100__M_Left_middle_1.BMP,100__M_Left_middle_2.BMP,genuine,36.0
100__M_Left_middle_1.BMP,100__M_Left_middle_3.BMP,genuine,68.0
100__M_Left_middle_2.BMP,100__M_Left_middle_3.BMP,genuine,34.0
100__M_Left_ring_1.BMP,100__M_Left_ring_2.BMP,genuine,30.0
100__M_Left_ring_1.BMP,100__M_Left_ring_3.BMP,genuine,24.0
100__M_Left_ring_2.BMP,100__M_Left_ring_3.BMP,genuine,14.0
100__M_Left_thumb_1.BMP,100__M_Left_thumb_2.BMP,genuine,22.0
100__M_Left_thumb_1.BMP,100__M_Left_thumb_3.BMP,genuine,12.0
100__M_Left_thumb_2.BMP,100__M_Left_thumb_3.BMP,genuine,14.0
100__M_Right_index_1.BMP,100__M_Right_index_2.BMP,genuine,46.0
100__M_Right_index_1.BMP,100__M_Right_index_3.BMP,genuine,64.0
100__M_Right_index_2.BMP,100__M_Right_index_3.BMP,genuine,38.0
100__M_Right_little_1.BMP,100__M_Right_little_2.BMP,genuine,60.0
100__M_Right_little_1.BMP,100__M_Right_little_3.BMP,genuine,18.0
100__M_Right_little_2.BMP,100__M_Right_little_3.BMP,genuine,14.0
100__M_Right_middle_1.BMP,100__M_Right_middle_2.BMP,genuine,78.0
100__M_Right_middle_1.BMP,100__M_Right_middle_3.BMP,genuine,92.0
100__M_Right_middle_2.BMP,100__M_Right_middle_3.BMP,genuine,74.0
100__M_Right_ring_1.BMP,100__M_Right_ring_2.BMP,genuine,22.0
100__M_Right_ring_1.BMP,100__M_Right_ring_3.BMP,genuine,26.0
100__M_Right_ring_2.BMP,100__M_Right_ring_3.BMP,genuine,28.0
100__M_Right_thumb_1.BMP,100__M_Right_thumb_2.BMP,genuine,22.0
