a,b,label,score
100__M_Left_index_1.BMP,100__M_Left_index_2.BMP,genuine,94.59
100__M_Left_index_1.BMP,100__M_Left_index_3.BMP,genuine,97.44
100__M_Left_index_2.BMP,100__M_Left_index_3.BMP,genuine,94.74
100__M_Left_little_1.BMP,100__M_Left_little_2.BMP,genuine,50.0
100__M_Left_little_1.BMP,100__M_Left_little_3.BMP,genuine,41.67
100__M_Left_little_2.BMP,100__M_Left_little_3.BMP,genuine,13.16
100__M_Left_middle_1.BMP,100__M_Left_middle_2.BMP,genuine,84.78
100__M_Left_middle_1.BMP,100__M_Left_middle_3.BMP,genuine,90.91
100__M_Left_middle_2.BMP,100__M_Left_middle_3.BMP,genuine,82.61
100__M_Left_ring_1.BMP,100__M_Left_ring_2.BMP,genuine,82.05
100__M_Left_ring_1.BMP,100__M_Left_ring_3.BMP,genuine,97.14
100__M_Left_ring_2.BMP,100__M_Left_ring_3.BMP,genuine,60.53
100__M_Left_thumb_1.BMP,100__M_Left_thumb_2.BMP,genuine,15.91
100__M_Left_thumb_1.BMP,100__M_Left_thumb_3.BMP,genuine,81.4
100__M_Left_thumb_2.BMP,100__M_Left_thumb_3.BMP,genuine,38.3
100__M_Right_index_1.BMP,100__M_Right_index_2.BMP,genuine,46.15
100__M_Right_index_1.BMP,100__M_Right_index_3.BMP,genuine,21.43
100__M_Right_index_2.BMP,100__M_Right_index_3.BMP,genuine,53.33
100__M_Right_little_1.BMP,100__M_Right_little_2.BMP,genuine,78.72
100__M_Right_little_1.BMP,100__M_Right_little_3.BMP,genuine,97.87
100__M_Right_little_2.BMP,100__M_Right_little_3.BMP,genuine,75.0
100__M_Right_middle_1.BMP,100__M_Right_middle_2.BMP,genuine,26.67
100__M_Right_middle_1.BMP,100__M_Right_middle_3.BMP,genuine,90.91
100__M_Right_middle_2.BMP,100__M_Right_middle_3.BMP,genuine,19.35
100__M_Right_ring_1.BMP,100__M_Right_ring_2.BMP,genuine,93.55
100__M_Right_ring_1.BMP,100__M_Right_ring_3.BMP,genuine,93.75
100__M_Right_ring_2.BMP,100__M_Right_ring_3.BMP,genuine,87.88
100__M_Right_thumb_1.BMP,100__M_Right_thumb_2.BMP,genuine,71.88
100__M_Right_thumb_1.BMP,100__M_Right_thumb_3.BMP,genuine,90.32
100__M_Right_thumb_2.BMP,100__M_Right_thumb_3.BMP,genuine,72.73
10__M_Left_index_1.BMP,10__M_Left_index_2.BMP,genuine,0.0
10__M_Left_index_1.BMP,10__M_Left_index_3.BMP,genuine,20.0
10__M_Left_index_2.BMP,10__M_Left_index_3.BMP,genuine,54.55
10__M_Left_little_1.BMP,10__M_Left_little_2.BMP,genuine,21.43
10__M_Left_little_1.BMP,10__M_Left_little_3.BMP,genuine,28.57
10__M_Left_little_2.BMP,10__M_Left_little_3.BMP,genuine,12.5
10__M_Left_middle_1.BMP,10__M_Left_middle_2.BMP,genuine,100.0
10__M_Left_middle_1.BMP,10__M_Left_middle_3.BMP,genuine,0.0
10__M_Left_middle_2.BMP,10__M_Left_middle_3.BMP,genuine,0.0
10__M_Left_ring_1.BMP,10__M_Left_ring_2.BMP,genuine,93.33
10__M_Left_ring_1.BMP,10__M_Left_ring_3.BMP,genuine,100.0
10__M_Left_ring_2.BMP,10__M_Left_ring_3.BMP,genuine,93.33
10__M_Left_thumb_1.BMP,10__M_Left_thumb_2.BMP,genuine,40.0
10__M_Left_thumb_1.BMP,10__M_Left_thumb_3.BMP,genuine,66.67
10__M_Left_thumb_2.BMP,10__M_Left_thumb_3.BMP,genuine,20.0
10__M_Right_index_1.BMP,10__M_Right_index_2.BMP,genuine,15.79
10__M_Right_index_1.BMP,10__M_Right_index_3.BMP,genuine,82.35
10__M_Right_index_2.BMP,10__M_Right_index_3.BMP,genuine,11.11
10__M_Right_little_1.BMP,10__M_Right_little_2.BMP,genuine,17.78
10__M_Right_little_1.BMP,10__M_Right_little_3.BMP,genuine,34.88
10__M_Right_little_2.BMP,10__M_Right_little_3.BMP,genuine,39.58
10__M_Right_middle_1.BMP,10__M_Right_middle_2.BMP,genuine,100.0
10__M_Right_middle_1.BMP,10__M_Right_middle_3.BMP,genuine,22.22
10__M_Right_middle_2.BMP,10__M_Right_middle_3.BMP,genuine,22.22
10__M_Right_ring_1.BMP,10__M_Right_ring_2.BMP,genuine,35.29
10__M_Right_ring_1.BMP,10__M_Right_ring_3.BMP,genuine,21.05
10__M_Right_ring_2.BMP,10__M_Right_ring_3.BMP,genuine,19.44
11__M_Left_index_1.BMP,11__M_Left_index_2.BMP,genuine,95.24
11__M_Left_index_1.BMP,11__M_Left_index_3.BMP,genuine,100.0
11__M_Left_index_2.BMP,11__M_Left_index_3.BMP,genuine,95.24
11__M_Left_little_1.BMP,11__M_Left_little_2.BMP,genuine,21.43
11__M_Left_little_1.BMP,11__M_Left_little_3.BMP,genuine,100.0
11__M_Left_little_2.BMP,11__M_Left_little_3.BMP,genuine,14.29
11__M_Left_middle_1.BMP,11__M_Left_middle_2.BMP,genuine,16.0
11__M_Left_middle_1.BMP,11__M_Left_middle_3.BMP,genuine,70.0
11__M_Left_middle_2.BMP,11__M_Left_middle_3.BMP,genuine,18.0
11__M_Left_ring_1.BMP,11__M_Left_ring_2.BMP,genuine,26.67
11__M_Left_ring_1.BMP,11__M_Left_ring_3.BMP,genuine,61.54
11__M_Left_ring_2.BMP,11__M_Left_ring_3.BMP,genuine,37.5
11__M_Left_thumb_1.BMP,11__M_Left_thumb_2.BMP,genuine,15.62
11__M_Left_thumb_1.BMP,11__M_Left_thumb_3.BMP,genuine,94.29
11__M_Left_thumb_2.BMP,11__M_Left_thumb_3.BMP,genuine,16.13
11__M_Right_index_1.BMP,11__M_Right_index_2.BMP,genuine,72.22
11__M_Right_index_1.BMP,11__M_Right_index_3.BMP,genuine,77.14
11__M_Right_index_2.BMP,11__M_Right_index_3.BMP,genuine,81.82
11__M_Right_little_1.BMP,11__M_Right_little_2.BMP,genuine,69.57
11__M_Right_little_1.BMP,11__M_Right_little_3.BMP,genuine,20.83
11__M_Right_little_2.BMP,11__M_Right_little_3.BMP,genuine,88.0
11__M_Right_middle_1.BMP,11__M_Right_middle_2.BMP,genuine,34.0
11__M_Right_middle_1.BMP,11__M_Right_middle_3.BMP,genuine,91.67
11__M_Right_middle_2.BMP,11__M_Right_middle_3.BMP,genuine,20.83
11__M_Right_ring_1.BMP,11__M_Right_ring_2.BMP,genuine,80.49
11__M_Right_ring_1.BMP,11__M_Right_ring_3.BMP,genuine,47.62
11__M_Right_ring_2.BMP,11__M_Right_ring_3.BMP,genuine,62.22
11__M_Right_thumb_1.BMP,11__M_Right_thumb_2.BMP,genuine,21.28
11__M_Right_thumb_1.BMP,11__M_Right_thumb_3.BMP,genuine,82.0
11__M_Right_thumb_2.BMP,11__M_Right_thumb_3.BMP,genuine,25.53
12__M_Left_index_1.BMP,12__M_Left_index_2.BMP,genuine,30.0
12__M_Left_index_1.BMP,12__M_Left_index_3.BMP,genuine,96.3
12__M_Left_index_2.BMP,12__M_Left_index_3.BMP,genuine,32.26
12__M_Left_little_1.BMP,12__M_Left_little_2.BMP,genuine,13.64
12__M_Left_little_1.BMP,12__M_Left_little_3.BMP,genuine,94.74
12__M_Left_little_2.BMP,12__M_Left_little_3.BMP,genuine,21.74
12__M_Left_middle_1.BMP,12__M_Left_middle_2.BMP,genuine,28.57
12__M_Left_middle_1.BMP,12__M_Left_middle_3.BMP,genuine,89.58
12__M_Left_middle_2.BMP,12__M_Left_middle_3.BMP,genuine,34.69
12__M_Left_ring_1.BMP,12__M_Left_ring_2.BMP,genuine,75.0
12__M_Left_ring_1.BMP,12__M_Left_ring_3.BMP,genuine,87.18
12__M_Left_ring_2.BMP,12__M_Left_ring_3.BMP,genuine,80.49
12__M_Left_thumb_1.BMP,12__M_Left_thumb_2.BMP,genuine,64.71
12__M_Left_thumb_1.BMP,12__M_Left_thumb_3.BMP,genuine,77.78
12__M_Left_thumb_2.BMP,12__M_Left_thumb_3.BMP,genuine,70.59
12__M_Right_index_1.BMP,12__M_Right_index_2.BMP,genuine,20.0
12__M_Right_index_1.BMP,12__M_Right_index_3.BMP,genuine,25.0
12__M_Right_index_2.BMP,12__M_Right_index_3.BMP,genuine,8.33
12__M_Right_little_1.BMP,12__M_Right_little_2.BMP,genuine,9.09
12__M_Right_little_1.BMP,12__M_Right_little_3.BMP,genuine,14.29
12__M_Right_little_2.BMP,12__M_Right_little_3.BMP,genuine,8.33
12__M_Right_middle_1.BMP,12__M_Right_middle_2.BMP,genuine,22.22
12__M_Right_middle_1.BMP,12__M_Right_middle_3.BMP,genuine,22.22
12__M_Right_middle_2.BMP,12__M_Right_middle_3.BMP,genuine,100.0
12__M_Right_ring_1.BMP,12__M_Right_ring_2.BMP,genuine,9.52
12__M_Right_ring_1.BMP,12__M_Right_ring_3.BMP,genuine,100.0
12__M_Right_ring_2.BMP,12__M_Right_ring_3.BMP,genuine,9.52
12__M_Right_thumb_1.BMP,12__M_Right_thumb_2.BMP,genuine,6.25
12__M_Right_thumb_1.BMP,12__M_Right_thumb_3.BMP,genuine,25.0
12__M_Right_thumb_2.BMP,12__M_Right_thumb_3.BMP,genuine,61.11
13__F_Left_index_1.BMP,13__F_Left_index_2.BMP,genuine,26.32
13__F_Left_index_1.BMP,13__F_Left_index_3.BMP,genuine,85.71
13__F_Left_index_2.BMP,13__F_Left_index_3.BMP,genuine,15.0
13__F_Left_little_1.BMP,13__F_Left_little_2.BMP,genuine,10.2
13__F_Left_little_1.BMP,13__F_Left_little_3.BMP,genuine,87.76
13__F_Left_little_2.BMP,13__F_Left_little_3.BMP,genuine,12.0
13__F_Left_middle_1.BMP,13__F_Left_middle_2.BMP,genuine,23.08
13__F_Left_middle_1.BMP,13__F_Left_middle_3.BMP,genuine,55.88
13__F_Left_middle_2.BMP,13__F_Left_middle_3.BMP,genuine,46.51
13__F_Left_ring_1.BMP,13__F_Left_ring_2.BMP,genuine,24.0
13__F_Left_ring_1.BMP,13__F_Left_ring_3.BMP,genuine,66.0
13__F_Left_ring_2.BMP,13__F_Left_ring_3.BMP,genuine,54.0
13__F_Left_thumb_1.BMP,13__F_Left_thumb_2.BMP,genuine,31.25
13__F_Left_thumb_1.BMP,13__F_Left_thumb_3.BMP,genuine,16.67
13__F_Left_thumb_2.BMP,13__F_Left_thumb_3.BMP,genuine,10.0
13__F_Right_index_1.BMP,13__F_Right_index_2.BMP,genuine,80.0
13__F_Right_index_1.BMP,13__F_Right_index_3.BMP,genuine,36.0
13__F_Right_index_2.BMP,13__F_Right_index_3.BMP,genuine,48.0
13__F_Right_little_1.BMP,13__F_Right_little_2.BMP,genuine,73.53
13__F_Right_little_1.BMP,13__F_Right_little_3.BMP,genuine,100.0
13__F_Right_little_2.BMP,13__F_Right_little_3.BMP,genuine,76.47
13__F_Right_middle_1.BMP,13__F_Right_middle_2.BMP,genuine,74.29
13__F_Right_middle_1.BMP,13__F_Right_middle_3.BMP,genuine,52.94
13__F_Right_middle_2.BMP,13__F_Right_middle_3.BMP,genuine,84.38
13__F_Right_ring_1.BMP,13__F_Right_ring_2.BMP,genuine,68.89
13__F_Right_ring_1.BMP,13__F_Right_ring_3.BMP,genuine,58.7
13__F_Right_ring_2.BMP,13__F_Right_ring_3.BMP,genuine,75.51
13__F_Right_thumb_1.BMP,13__F_Right_thumb_2.BMP,genuine,65.31
13__F_Right_thumb_1.BMP,13__F_Right_thumb_3.BMP,genuine,91.3
13__F_Right_thumb_2.BMP,13__F_Right_thumb_3.BMP,genuine,27.66
14__M_Left_index_1.BMP,14__M_Left_index_2.BMP,genuine,39.13
14__M_Left_index_1.BMP,14__M_Left_index_3.BMP,genuine,19.57
